player,win_rate,hard_1st_rt_pt_won,hard_2nd_rt_pt_won,hard_bp_convert,hard_df_to_ace,hard_1st_in,hard_1st_pt_won,hard_2nd_pt_won,clay_1st_rt_pt_won,clay_2nd_rt_pt_won,clay_bp_convert,clay_df_to_ace,clay_1st_in,clay_1st_pt_won,clay_2nd_pt_won,grass_1st_rt_pt_won,grass_2nd_rt_pt_won,grass_bp_convert,grass_df_to_ace,grass_1st_in,grass_1st_pt_won,grass_2nd_pt_won
Rafael Nadal,100.0,32.47,54.33,47.96,46.41,67.88,72.17,60.78,45.55,61.15,53.07,49.36,72.4,69.76,60.82,28.77,54.36,38.14,26.31,69.79,79.73,62.93
Roger Federer,91.67,30.72,52.55,43.42,14.36,64.32,78.41,61.13,37.72,54.69,46.42,14.31,62.21,74.37,58.89,27.68,55.56,49.61,4.64,69.04,80.61,68.46
David Ferrer,87.5,32.46,52.52,39.12,51.97,64.32,69.15,61.35,36.92,53.57,48.0,70.81,66.75,65.79,56.19,27.39,56.17,39.45,71.61,70.0,74.45,58.42
Prakash Amritraj,85.71,26.53,42.0,50.0,66.67,66.33,64.62,34.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.07,43.41,40.14,64.43,58.74,79.43,66.81
Andy Murray,80.0,34.29,54.93,44.62,40.54,57.07,76.31,66.56,33.69,49.33,47.02,54.97,57.87,67.75,52.93,27.97,59.85,37.35,22.55,60.96,74.15,58.13
Ivo Karlovic,77.78,22.93,41.55,25.46,8.9,66.7,81.11,52.35,25.99,37.77,37.75,13.29,63.14,77.48,67.63,26.46,46.39,47.03,10.38,69.55,86.34,61.79
Marat Safin,75.0,26.53,48.12,39.74,53.22,51.42,73.01,59.81,32.12,47.61,54.75,46.98,55.91,72.7,59.07,28.62,47.94,45.78,29.8,60.02,75.33,54.28
Lleyton Hewitt,75.0,32.14,55.53,36.04,54.15,50.97,75.11,65.37,35.79,54.18,48.33,39.88,56.67,69.21,55.61,27.8,55.52,38.02,20.69,59.42,80.37,64.53
Mario Ancic,72.73,28.06,51.37,38.71,29.87,62.51,78.18,53.51,33.46,49.1,50.19,49.58,64.15,70.02,49.31,27.16,45.05,31.81,33.52,62.29,78.7,59.27
Fernando Verdasco,72.73,30.02,50.64,48.17,120.22,72.02,69.97,48.45,39.07,54.54,45.24,225.05,73.69,66.16,52.57,30.88,55.21,51.16,70.23,71.93,74.53,57.67
