player,win_rate,hard_1st_rt_pt_won,hard_2nd_rt_pt_won,hard_bp_convert,hard_df_to_ace,hard_1st_in,hard_1st_pt_won,hard_2nd_pt_won,clay_1st_rt_pt_won,clay_2nd_rt_pt_won,clay_bp_convert,clay_df_to_ace,clay_1st_in,clay_1st_pt_won,clay_2nd_pt_won,grass_1st_rt_pt_won,grass_2nd_rt_pt_won,grass_bp_convert,grass_df_to_ace,grass_1st_in,grass_1st_pt_won,grass_2nd_pt_won
Rafael Nadal,100.0,28.7,53.07,45.85,61.64,65.36,72.72,59.47,40.76,57.09,51.8,77.82,73.48,69.48,58.28,26.18,51.98,43.66,44.56,69.54,76.27,53.75
Roger Federer,84.21,35.35,53.91,48.44,25.66,62.66,77.57,60.46,38.29,55.22,42.68,29.81,60.11,75.77,65.44,33.73,52.43,52.64,9.16,65.98,79.36,63.61
David Nalbandian,78.26,31.38,52.42,49.29,101.01,62.67,65.77,52.36,36.03,55.22,50.13,205.09,57.81,68.82,57.19,30.48,55.18,34.49,200.0,60.16,77.95,61.9
Mario Ancic,77.78,31.73,47.12,44.46,35.07,62.46,73.99,53.49,31.42,49.75,42.4,26.55,64.03,71.34,53.57,29.75,49.18,36.62,23.41,61.42,81.02,56.5
Tommy Robredo,75.86,28.71,52.8,50.15,67.69,64.42,70.82,52.12,37.46,56.13,45.27,33.29,75.84,65.77,60.08,33.0,51.21,45.0,154.17,68.19,69.64,44.5
Jose Acasuso,75.76,20.54,49.26,41.41,69.57,52.73,75.39,63.9,36.87,57.24,50.5,45.93,53.1,74.51,57.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikolay Davydenko,75.0,33.81,55.34,48.47,99.82,68.35,70.14,64.05,38.94,56.91,49.72,98.77,68.8,70.25,52.26,30.14,45.27,30.55,87.5,59.55,67.33,65.28
Agustin Calleri,74.07,28.61,51.75,37.84,67.52,56.7,77.02,52.08,32.42,52.98,46.55,38.26,56.6,77.04,50.82,28.55,52.29,45.26,43.33,63.2,68.47,43.54
Novak Djokovic,73.68,28.91,48.86,48.72,85.57,61.19,72.02,49.63,37.25,53.62,51.08,59.8,66.39,69.44,56.73,27.56,46.47,57.17,83.05,61.18,78.56,51.1
Ivan Ljubicic,71.43,29.45,50.89,39.08,22.36,60.68,81.36,58.63,33.84,45.68,42.8,35.57,58.34,73.86,49.77,22.23,49.31,25.88,38.81,62.97,81.69,49.27
