player,win_rate,hard_1st_rt_pt_won,hard_2nd_rt_pt_won,hard_bp_convert,hard_df_to_ace,hard_1st_in,hard_1st_pt_won,hard_2nd_pt_won,clay_1st_rt_pt_won,clay_2nd_rt_pt_won,clay_bp_convert,clay_df_to_ace,clay_1st_in,clay_1st_pt_won,clay_2nd_pt_won,grass_1st_rt_pt_won,grass_2nd_rt_pt_won,grass_bp_convert,grass_df_to_ace,grass_1st_in,grass_1st_pt_won,grass_2nd_pt_won
Serena Williams,100.0,42.29,57.24,54.31,48.64,59.66,78.36,59.3,42.46,57.02,57.59,42.88,60.73,72.32,51.78,37.37,64.23,48.89,30.54,59.28,78.63,53.38
Angelique Kerber,87.5,40.96,54.21,50.4,141.46,66.37,60.04,41.38,43.07,54.77,53.64,18.49,73.67,66.4,50.46,36.28,58.35,40.65,28.08,74.31,71.61,67.02
Ana Konjuh,83.33,33.93,50.33,64.57,197.62,52.89,65.96,58.75,40.14,47.77,49.88,114.82,56.38,60.91,47.22,47.39,43.92,60.48,119.44,66.06,67.28,55.7
Maria Sharapova,83.33,39.89,62.33,45.45,122.89,60.58,72.54,61.35,42.39,49.67,42.95,187.58,63.39,72.05,66.27,38.73,56.96,56.95,352.78,64.14,74.99,36.65
Belinda Bencic,82.35,36.4,51.93,41.82,164.92,64.31,62.33,57.01,31.75,52.82,45.02,169.89,66.4,63.31,60.46,38.04,54.64,56.5,54.98,70.47,70.6,54.74
Agnieszka Radwanska,80.0,38.28,56.3,54.29,59.41,65.27,68.19,51.3,46.31,52.98,61.33,60.2,61.72,60.97,65.97,41.18,60.96,53.04,28.96,71.05,71.27,50.99
Camila Giorgi,80.0,38.11,51.12,52.19,429.19,60.06,67.58,73.41,34.63,44.54,57.74,302.6,62.88,57.02,39.82,34.88,51.46,56.5,290.39,59.21,77.24,58.76
Sloane Stephens,75.0,35.18,51.41,50.2,127.02,60.75,65.26,59.19,38.72,50.55,55.74,130.23,62.62,64.61,53.05,39.1,54.2,63.69,44.73,62.94,68.43,58.37
Caroline Wozniacki,75.0,42.63,53.8,50.57,83.13,67.64,66.86,41.73,41.0,55.36,50.12,34.3,73.14,63.48,64.46,42.56,57.83,56.61,37.62,74.48,61.55,46.32
Kristina Mladenovic,72.73,35.35,47.84,36.69,112.51,56.16,65.53,99.76,40.35,46.6,50.09,117.85,60.68,67.17,58.91,31.95,52.51,58.11,47.56,66.92,72.51,42.92
