player,win_rate,hard_1st_rt_pt_won,hard_2nd_rt_pt_won,hard_bp_convert,hard_df_to_ace,hard_1st_in,hard_1st_pt_won,hard_2nd_pt_won,clay_1st_rt_pt_won,clay_2nd_rt_pt_won,clay_bp_convert,clay_df_to_ace,clay_1st_in,clay_1st_pt_won,clay_2nd_pt_won,grass_1st_rt_pt_won,grass_2nd_rt_pt_won,grass_bp_convert,grass_df_to_ace,grass_1st_in,grass_1st_pt_won,grass_2nd_pt_won
Ashleigh Barty,84.62,39.56,54.26,45.39,60.92,58.26,73.62,58.89,43.07,55.14,53.14,52.55,58.75,67.95,63.74,40.74,55.41,57.62,73.52,56.78,82.04,53.23
Petra Martic,84.21,36.89,54.34,44.89,107.86,61.88,69.16,93.38,45.02,56.0,58.04,161.16,67.48,62.95,49.39,28.64,55.84,42.79,77.79,63.13,67.7,49.05
Marketa Vondrousova,83.33,42.29,56.01,49.94,184.39,59.76,67.92,56.29,47.72,52.95,51.62,199.09,62.68,65.73,49.73,41.76,64.35,52.98,300.0,64.19,58.46,45.96
Jil Teichmann,82.35,32.95,44.56,46.4,107.4,61.34,62.11,44.88,45.22,59.83,58.85,94.18,67.63,65.72,53.31,37.5,46.34,25.0,66.67,65.56,61.02,35.71
Petra Kvitova,80.0,37.44,53.86,43.98,133.48,60.58,71.66,58.76,38.08,56.28,48.08,69.94,63.63,72.0,63.73,35.48,59.93,35.11,30.46,67.23,74.31,77.26
Johanna Konta,78.95,38.74,54.76,43.6,53.95,66.85,67.06,49.02,38.84,56.85,53.28,83.64,66.11,68.0,56.53,31.16,46.58,40.03,54.79,68.05,70.84,52.79
Monica Puig,78.57,34.33,54.55,41.87,186.27,62.52,65.14,59.64,41.01,60.04,55.58,116.38,60.97,68.4,49.43,26.49,50.27,69.85,265.62,61.04,60.8,52.6
Amanda Anisimova,78.57,38.7,57.8,45.96,126.73,64.38,63.74,50.13,41.12,60.84,55.36,231.4,66.63,61.99,46.85,38.66,53.44,38.99,290.4,64.3,62.7,42.44
Simona Halep,78.57,39.4,58.56,49.39,166.55,67.19,62.05,49.91,50.18,59.36,59.5,97.98,73.95,66.72,44.7,45.2,56.92,56.06,135.0,68.49,66.3,55.13
Kiki Bertens,78.26,35.01,52.58,46.95,111.05,57.37,73.63,49.21,39.47,57.95,48.15,78.35,57.61,72.16,74.34,37.25,53.1,55.04,105.56,56.21,70.64,50.6
